LAT,LON,CO,O3,PM025,,max lat,min lat,,,,,,
40.444,-80.12,136.85,30.295,10.981,,,,,,,,,
40.446,-80.12,136.85,30.295,10.981,,,,,,,,,
40.447,-80.12,136.85,30.295,10.981,,,,,,,,,
40.449,-80.12,136.85,30.295,10.982,,,,,,,,,
40.451,-80.12,132.74,30.295,6.419,,,,,,,,,
40.453,-80.12,138.56,30.295,3.6046,,,,,,,,,
40.455,-80.12,138.56,30.295,3.6046,,,,,,,,,
40.456,-80.12,138.56,30.295,3.6046,,,,,,,,,
40.458,-80.12,138.56,30.295,3.6046,,,,,,,,,
40.46,-80.12,138.56,30.295,3.6046,,,,,,,,,
40.462,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.464,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.465,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.467,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.469,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.471,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.473,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.474,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.476,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.478,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.48,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.482,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.483,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.485,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.487,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.489,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.491,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.492,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.494,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.496,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.498,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.5,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.501,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.503,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.505,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.507,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.509,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.51,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.512,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.514,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.516,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.518,-80.12,138.56,33.562,3.6046,,,,,,,,,
40.519,-80.12,138.56,33.562,3.6046,,,,,,,,,
